"Squad","Player","Pos","Age","MP","Min","Mn/MP","Min%","90s","Starts","Starts-Mn/Start","Starts-Compl","Subs-Subs","Subs-Mn/Sub","Subs-unSub","TeamSuccess-PPM","TeamSuccess-onG","TeamSuccess-onGA","TeamSuccess-PlusMinus","TeamSuccess-PlusMinus/90","TeamSuccess-OnOff","TeamSuccess(xG)-onxG","TeamSuccess(xG)-onxGA","TeamSuccess(xG)-xGPlusMinus","TeamSuccess(xG)-PlusMinus/90","TeamSuccess(xG)-OnOff"
"France","Ousmane Dembele","FW",25,7,433,62,65.6,4.8,6,70,0,1,12,0,2.29,10,5,5,0.04,-0.15,9.2,5,0.1,0.86,0.96
"France","Olivier Giroud","FW",35,6,419,70,63.5,4.7,6,70,1,0,,1,2.67,10,4,6,0.29,0.54,8.3,5.5,0.8,0.61,0.23
"France","Theo Hernandez","DF",24,6,508,85,77,5.6,5,86,4,1,78,1,2.67,13,5,8,0.42,0.42,10.9,7.5,0.3,0.59,0.27
"France","Adrien Rabiot","MF",27,6,483,81,73.2,5.4,5,91,4,1,28,0,2.17,13,6,7,0.3,0.8,10.4,7.1,0.3,0.62,0.34
"France","Jules Kounde","DF",23,6,480,80,72.7,5.3,5,96,3,1,2,1,2.67,12,5,7,0.31,0.81,9,7.7,0.3,0.24,-1.03
"France","Dayot Upamecano","DF",23,5,480,96,72.7,5.3,5,96,5,0,,2,2.6,14,7,7,0.31,0.81,10.9,8.5,0.4,0.49,-0.12
"France","Ibrahima Konate","DF",23,5,294,59,44.5,3.3,3,90,3,2,12,2,2,8,2,6,0.84,0.34,9,2.3,0.6,0.09,0.76
"France","Youssouf Fofana","MF",23,6,227,38,34.4,2.5,2,81,1,4,16,1,2.17,5,3,2,0.79,-0.45,4,3.8,0.1,0.06,-0.67
"France","Randal Kolo Muani","FW",23,3,182,61,27.6,2,1,90,1,2,46,4,1.33,4,2,2,0.99,-0.14,3.7,2.9,0.8,0.48,-0.06
"France","Kingsley Coman","FW,MF",26,6,169,28,25.6,1.9,1,62,0,5,21,1,2.17,5,3,2,0.07,-0.03,3.8,4.1,-0.3,-0.16,-0.87
"France","Eduardo Camavinga","DF",19,2,140,70,21.2,1.6,1,90,1,1,50,5,0.5,3,2,1,0.64,-0.57,2.9,2.1,0.8,0.67,0.18
"France","Axel Disasi","DF",24,3,92,31,13.9,1,1,90,1,2,1,4,1.33,0,2,-2,-1.96,-3.54,1.1,1.7,-0.6,-0.6,-1.31
"France","Steve Mandanda","GK",37,1,90,90,13.6,1,1,90,1,0,,6,0,0,1,-1,-1,-2.42,0.8,0.5,0.3,0.3,-0.26
"France","Benjamin Pavard","DF",26,1,88,88,13.3,1,1,88,0,0,,6,3,4,1,3,0.07,0.28,3.7,0.5,0.2,0.24,0.13
"France","Matteo Guendouzi","FW,MF",23,1,78,78,11.8,0.9,1,78,0,0,,6,0,0,1,-1,-1.15,-2.55,0.2,0.5,-0.3,-0.35,-0.99
"France","Jordan Veretout","MF",29,1,62,62,9.4,0.7,1,62,0,0,,6,0,0,1,-1,-1.45,-2.81,0.2,0.5,-0.3,-0.44,-1.07
